"customer_id","customer_name","total_rentals","total_spent"
42,CAROLYN PEREZ,30,117.70
595,TERRENCE GUNDERSON,30,117.70
321,KEVIN SCHULER,22,116.78
432,EDWIN BURK,23,116.77
408,MANUEL MURRELL,30,116.70
214,KRISTIN JOHNSTON,31,116.69
446,THEODORE CULP,31,116.69
254,MAXINE SILVA,32,116.68
304,DAVID ROYAL,26,115.74
512,CECIL VINES,26,115.74
58,JEAN BELL,27,115.73
500,REGINALD KINDER,28,115.72
25,DEBORAH WALKER,29,115.71
287,BECKY MILES,29,115.71
481,HERMAN DEVORE,29,115.71
485,CLYDE TOBIAS,29,115.71
588,MARION OCAMPO,29,115.71
20,SHARON ROBINSON,30,115.70
53,HEATHER MORRIS,30,115.70
444,MARCUS HIDALGO,30,115.70
503,ANGEL BARCLAY,32,115.68
427,JESUS MCCARTNEY,24,114.76
343,DOUGLAS GRAF,25,114.75
44,MARIE TURNER,26,114.74
171,DOLORES WAGNER,26,114.74
220,CHARLENE ALVAREZ,27,114.73
57,EVELYN MORGAN,28,114.72
317,EDWARD BAUGH,28,114.72
338,DENNIS GILMAN,28,114.72
457,BILL GAVIN,28,114.72
186,HOLLY FOX,31,114.69
323,MATTHEW MAHAN,31,114.69
22,LAURA RODRIGUEZ,22,113.78
582,ANDY VANHORN,25,113.75
294,SHELLY WATTS,26,113.74
486,GLEN TALBERT,26,113.74
593,RENE MCALISTER,26,113.74
139,AMBER DIXON,27,113.73
113,CINDY FISHER,29,113.71
447,CLIFFORD BOWENS,29,113.71
157,DARLENE ROSE,31,113.69
91,LOIS BUTLER,35,113.65
493,BRENT HARKINS,23,112.77
540,TYRONE ASHER,24,112.76
63,ASHLEY RICHARDSON,25,112.75
590,SETH HANNON,25,112.75
327,LARRY THRASHER,26,112.74
407,DALE RATCLIFF,27,112.73
441,MARIO CHEATHAM,28,112.72
161,GERALDINE PERKINS,30,112.70
256,MABEL HOLLAND,30,112.70
453,CALVIN MARTEL,23,111.77
528,CLAUDE HERZOG,25,111.75
234,CLAUDIA FULLER,26,111.74
518,GABRIEL HARDER,26,111.74
116,VICTORIA GIBSON,27,111.73
396,EARL SHANKS,27,111.73
579,DARYL LARUE,27,111.73
213,GINA WILLIAMSON,28,111.72
592,TERRANCE ROUSH,29,111.71
28,CYNTHIA YOUNG,32,111.68
258,MYRTLE FLEMING,24,110.76
375,AARON SELBY,24,110.76
417,TRAVIS ESTEP,25,110.75
231,GEORGIA JACOBS,26,110.74
40,AMANDA CARTER,27,110.73
190,YOLANDA WEAVER,27,110.73
90,RUBY WASHINGTON,28,110.72
376,RANDY GAITHER,28,110.72
559,EVERETT BANDA,28,110.72
563,KEN PREWITT,29,110.71
135,JUANITA MASON,30,110.70
424,KYLE SPURLOCK,30,110.70
138,HAZEL WARREN,34,110.66
477,DAN PAINE,22,109.78
155,GAIL KNIGHT,25,109.75
193,KATIE ELLIOTT,25,109.75
305,RICHARD MCCRARY,25,109.75
460,LEON BOSTIC,25,109.75
562,WALLACE SLONE,25,109.75
121,JOSEPHINE GOMEZ,26,109.74
333,ANDREW PURDY,27,109.73
471,DEAN SAUER,27,109.73
290,KRISTINA CHAMBERS,28,109.72
574,JULIAN VEST,28,109.72
405,LEONARD SCHOFIELD,32,109.68
47,FRANCES PARKER,22,108.78
541,DARREN WINDHAM,24,108.76
201,VICKI FIELDS,25,108.75
572,SIDNEY BURLESON,25,108.75
587,SERGIO STANFIELD,26,108.74
145,LUCILLE HOLMES,28,108.72
275,CAROLE BARNETT,30,108.70
246,MARIAN MENDOZA,23,107.77
249,DORA MEDINA,23,107.77
127,ELAINE STEVENS,24,107.76
553,MAX PITT,24,107.76
109,EDNA WEST,26,107.74
261,DEANNA BYRD,26,107.74
581,VIRGIL WOFFORD,27,107.73
52,JULIE SANCHEZ,29,107.71
418,JEFF EAST,30,107.70
452,TOM MILNER,32,107.68
341,PETER MENARD,23,106.77
345,CARL ARTIS,23,106.77
379,CARLOS COUGHLIN,23,106.77
11,LISA ANDERSON,24,106.76
98,LILLIAN GRIFFIN,25,106.75
160,ERIN DUNN,27,106.73
381,BOBBY BOUDREAU,35,106.65
429,FREDERICK ISBELL,21,105.79
150,DANIELLE DANIELS,25,105.75
308,THOMAS GRIGSBY,25,105.75
414,VINCENT RALSTON,25,105.75
517,BRAD MCCURDY,25,105.75
96,DIANA ALEXANDER,27,105.73
397,JIMMY SCHRADER,29,105.71
247,STELLA MORENO,22,104.78
409,RODNEY MOELLER,23,104.77
466,LEO EBERT,23,104.77
270,LEAH CURTIS,25,104.75
31,BRENDA WRIGHT,26,104.74
312,MARK RINEHART,26,104.74
425,FRANCIS SIKES,26,104.74
391,CLARENCE GAMEZ,30,104.70
65,ROSE HOWARD,22,103.78
365,BRUCE SCHWARZ,23,103.77
519,RON DELUCA,23,103.77
475,PEDRO CHESTNUT,24,103.76
199,BETH FRANKLIN,25,103.75
324,GARY COY,25,103.75
537,CLINTON BUFORD,25,103.75
546,KELLY KNOTT,25,103.75
202,CARLA GUTIERREZ,26,103.74
74,DENISE KELLY,27,103.73
282,JENNY CASTRO,27,103.73
383,MARTIN BALES,27,103.73
12,NANCY THOMAS,28,103.72
374,JEREMY HURTADO,28,103.72
100,ROBIN HAYES,24,102.76
445,MICHEAL FORMAN,26,102.74
367,ADAM GOOCH,22,101.78
480,COREY HAUSER,22,101.78
554,DWAYNE OLVERA,22,101.78
83,LOUISE JENKINS,25,101.75
156,BERTHA FERGUSON,25,101.75
359,WILLIE MARKHAM,25,101.75
219,WILLIE HOWELL,26,101.74
298,ERIKA PENA,26,101.74
385,PHILLIP HOLM,26,101.74
387,JESSE SCHILLING,26,101.74
509,RAUL FORTIER,20,100.80
55,DORIS REED,22,100.78
106,CONNIE WALLACE,23,100.77
123,SHANNON FREEMAN,24,100.76
456,RONNIE RICKETTS,25,100.75
303,WILLIAM SATTERFIELD,26,100.74
474,DUSTIN GILLETTE,26,100.74
77,JANE BENNETT,28,100.72
361,LAWRENCE LAWTON,31,100.69
64,JUDITH COX,33,100.67
449,OSCAR AQUINO,20,99.80
489,RICARDO MEADOR,21,99.79
67,KELLY TORRES,22,99.78
192,LAURIE LAWRENCE,23,99.77
352,ALBERT CROUSE,23,99.77
437,RANDALL NEUMANN,23,99.77
547,KURT EMMONS,23,99.77
43,CHRISTINE ROBERTS,24,99.76
511,CHESTER BENNER,24,99.76
10,DOROTHY TAYLOR,25,99.75
597,FREDDIE DUGGAN,25,99.75
570,IVAN CROMWELL,26,99.74
580,ROSS GREY,27,99.73
72,THERESA WATSON,30,99.70
272,KAY CALDWELL,20,98.80
17,DONNA THOMPSON,21,98.79
443,FRANCISCO SKIDMORE,22,98.78
544,CODY NOLEN,22,98.78
180,STACY CUNNINGHAM,23,98.77
217,AGNES BISHOP,23,98.77
175,ANNETTE OLSON,24,98.76
60,MILDRED BAILEY,25,98.75
264,GWENDOLYN MAY,25,98.75
516,ELMER NOE,26,98.74
133,PAULINE HENRY,27,98.73
310,DANIEL CABRAL,20,97.80
505,RAFAEL ABNEY,21,97.79
73,BEVERLY BROOKS,24,97.76
111,CARMEN OWENS,26,97.74
182,RENEE LANE,26,97.74
422,MELVIN ELLINGTON,26,97.74
498,GENE SANBORN,27,97.73
461,DEREK BLAKELY,28,97.72
578,WILLARD LUMPKIN,22,96.78
101,PEGGY MYERS,24,96.76
69,JUDY GRAY,25,96.75
326,JOSE ANDREW,25,96.75
551,CLAYTON BARBEE,26,96.74
561,IAN STILL,27,96.73
596,ENRIQUE FORSYTHE,28,96.72
169,ERICA MATTHEWS,22,95.78
476,DERRICK BOURQUE,22,95.78
488,SHANE MILLARD,22,95.78
37,PAMELA BAKER,23,95.77
216,NATALIE MEYER,23,95.77
291,TONI HOLT,23,95.77
364,BENJAMIN VARNEY,23,95.77
431,JOEL FRANCISCO,23,95.77
24,KIMBERLY LEE,25,95.75
232,CONSTANCE REID,25,95.75
507,EDGAR RHOADS,25,95.75
132,ESTHER CRAWFORD,28,95.72
542,LONNIE TIRADO,18,94.82
238,NELLIE GARRETT,21,94.79
68,NICOLE PETERSON,22,94.78
134,EMMA BOYD,23,94.77
153,SUZANNE NICHOLS,24,94.76
330,SCOTT SHELLEY,25,94.75
142,APRIL BURNS,26,94.74
81,ANDREA HENDERSON,22,93.78
189,LORETTA CARPENTER,22,93.78
523,HARVEY GUAJARDO,22,93.78
415,GLENN PULLEN,23,93.77
130,CHARLOTTE HUNTER,24,93.76
229,TAMARA NGUYEN,25,93.75
235,JACKIE LYNCH,25,93.75
377,HOWARD FORTNER,26,93.74
6,JENNIFER DAVIS,28,93.72
174,YVONNE WATKINS,21,92.79
301,ROBERT BAUGHMAN,21,92.79
8,SUSAN WILSON,24,92.76
104,RITA GRAHAM,24,92.76
188,MELANIE ARMSTRONG,25,92.75
36,KATHLEEN ADAMS,27,92.73
151,MEGAN PALMER,27,92.73
228,ALLISON STANLEY,27,92.73
212,WILMA RICHARDS,20,91.80
33,ANNA HILL,21,91.79
222,DELORES HANSEN,21,91.79
399,DANNY ISOM,21,91.79
18,CAROL GARCIA,22,91.78
325,TIMOTHY BUNN,22,91.78
93,PHYLLIS FOSTER,23,91.77
392,SEAN DOUGLASS,23,91.77
99,EMILY DIAZ,24,91.76
382,VICTOR BARKLEY,24,91.76
564,BOB PFEIFFER,24,91.76
435,RICKY SHELBY,25,91.75
463,DARRELL POWER,25,91.75
208,LUCY WHEELER,26,91.74
215,JESSIE BANKS,26,91.74
115,WENDY HARRISON,30,91.70
552,HUGH WALDROP,21,90.79
539,MATHEW BOLIN,22,90.78
184,VIVIAN RUIZ,23,90.77
328,JEFFREY SPEAR,23,90.77
501,RUBEN GEARY,21,89.79
545,JULIO NOLAND,21,89.79
143,LESLIE GORDON,22,89.78
9,MARGARET MOORE,23,89.77
233,LILLIE KIM,23,89.77
313,DONALD MAHON,23,89.77
34,REBECCA SCOTT,24,89.76
351,JACK FOUST,24,89.76
384,ERNEST STEPP,25,89.75
419,CHAD CARBONE,25,89.75
357,KEITH RICO,26,89.74
450,JAY ROBB,26,89.74
483,VERNON CHAPA,18,88.82
203,TARA RYAN,20,88.80
496,TYLER WREN,21,88.79
440,BERNARD COLBY,22,88.78
534,CHRISTIAN JUNG,24,88.76
369,FRED WHEAT,25,88.75
278,BILLIE HORTON,26,88.74
194,KRISTEN CHAVEZ,18,87.82
524,JARED ELY,19,87.81
88,BONNIE HUGHES,21,87.79
226,MAUREEN LITTLE,21,87.79
85,ANNE POWELL,23,87.77
227,COLLEEN BURTON,24,87.76
455,JON WILES,24,87.76
195,VANESSA SIMS,19,86.81
478,LEWIS LYMAN,19,86.81
165,LORRAINE STEPHENS,21,86.79
283,FELICIA SUTTON,28,86.72
567,ALFREDO MCADAMS,20,85.80
412,ALLEN BUTTERFIELD,21,85.79
315,KENNETH GOODEN,17,84.83
79,RACHEL BARNES,22,84.78
394,CHRIS BROTHERS,22,84.78
62,JOAN COOPER,23,84.77
185,ROBERTA HARPER,23,84.77
140,EVA RAMOS,18,83.82
599,AUSTIN CINTRON,19,83.81
152,ALICIA MILLS,21,83.79
556,ARMANDO GRUBER,21,83.79
598,WADE DELVALLE,22,83.78
118,KIM CRUZ,21,82.79
543,LANCE PEMBERTON,22,82.78
243,LYDIA BURKE,24,82.76
4,BARBARA JONES,22,81.78
527,CORY MEEHAN,24,81.76
223,MELINDA FERNANDEZ,17,80.83
70,CHRISTINA RAMIREZ,18,80.82
205,EILEEN CARR,18,80.82
358,SAMUEL MARLOW,21,80.79
521,ROLAND SOUTH,23,80.77
288,BOBBIE CRAIG,24,80.76
411,NORMAN CURRIER,26,80.74
548,ALLAN CORNISH,19,79.81
402,LUIS YANEZ,20,79.80
94,NORMA GONZALES,21,79.79
420,JACOB LANCE,21,79.79
430,RAY HOULE,22,79.78
398,ANTONIO MEEK,16,78.84
428,HERBERT KRUGER,20,78.80
335,GREGORY MAULDIN,23,78.77
95,PAULA BRYANT,18,77.82
549,NELSON CHRISTENSON,20,77.80
76,IRENE PRICE,23,77.77
48,ANN EVANS,17,76.83
224,PEARL GARZA,22,76.78
183,IDA ANDREWS,23,76.77
530,DARRYL ASHCRAFT,23,76.77
413,MARVIN YEE,21,75.79
555,DWIGHT LOMBARDI,17,74.83
525,ADRIAN CLARY,19,74.81
191,JEANETTE GREENE,20,74.80
514,FRANKLIN TROUTMAN,22,74.78
464,JEROME KENYON,16,73.84
124,SHEILA WELLS,18,73.82
344,HENRY BILLINGSLEY,18,73.82
250,JO FOWLER,20,73.80
401,TONY CARRANZA,21,73.79
350,JUAN FRALEY,23,73.77
557,FELIX GAFFNEY,24,73.76
353,JONATHAN SCARBOROUGH,18,72.82
355,TERRY GRISSOM,20,72.80
117,EDITH MCDONALD,19,71.81
378,EUGENE CULPEPPER,19,71.81
162,LAUREN HUDSON,20,71.80
320,ANTHONY SCHWAB,20,71.80
177,SAMANTHA DUNCAN,23,71.77
255,IRMA PEARSON,18,70.82
370,WAYNE TRUONG,19,70.81
465,FLOYD GANDY,17,69.83
271,PENNY NEAL,18,68.82
159,JILL HAWKINS,21,68.79
218,VERA MCCOY,18,67.82
164,JOANN GARDNER,16,66.84
458,LLOYD DOWD,19,66.81
568,ALBERTO HENNING,21,66.79
492,LESTER KRAUS,16,65.84
586,KIRK STCLAIR,19,64.81
252,MATTIE HOFFMAN,22,64.78
136,ANITA MORALES,15,62.85
110,TIFFANY JORDAN,14,59.86
61,KATHERINE RIVERA,14,58.86
97,ANNIE RUSSELL,18,58.82
395,JOHNNY TURPIN,19,57.81
318,BRIAN WYMAN,12,52.88
281,LEONA OBRIEN,14,50.86
248,CAROLINE BOWMAN,15,50.85
