"customer_id","customer_name","total_spent","average_customer_spending"
86,JACQUELINE LONG,148.67,112.53
309,CHRISTOPHER GRECO,147.69,112.53
204,ROSEMARY SCHMIDT,147.65,112.53
103,GLADYS HAMILTON,146.69,112.53
479,ZACHARY HITE,146.69,112.53
348,ROGER QUINTANILLA,146.64,112.53
87,WANDA PATTERSON,145.70,112.53
362,NICHOLAS BARFIELD,145.68,112.53
172,BERNICE WILLIS,145.67,112.53
436,TROY QUIGLEY,144.70,112.53
277,OLGA JIMENEZ,144.68,112.53
237,TANYA GILBERT,144.67,112.53
66,JANICE WARD,144.66,112.53
5,ELIZABETH BROWN,144.62,112.53
337,JERRY JORDON,143.71,112.53
363,ROY WHITING,143.71,112.53
120,SYLVIA ORTIZ,143.68,112.53
289,VIOLET RODRIQUEZ,142.70,112.53
347,RYAN SALISBURY,142.70,112.53
46,CATHERINE CAMPBELL,142.66,112.53
239,MINNIE ROMERO,142.66,112.53
39,DEBRA NELSON,141.71,112.53
472,GREG ROBINS,141.70,112.53
78,LORI WOOD,141.69,112.53
84,SARA PERRY,141.67,112.53
533,JESSIE MILAM,141.67,112.53
566,CASEY MENA,141.66,112.53
198,ELSIE KELLEY,141.63,112.53
494,RAMON CHOATE,140.69,112.53
242,GLENDA FRAZIER,140.68,112.53
29,ANGELA HERNANDEZ,140.64,112.53
146,JAMIE RICE,139.71,112.53
467,ALVIN DELOACH,139.71,112.53
404,STANLEY SCROGGINS,139.70,112.53
484,ROBERTO VU,139.70,112.53
114,GRACE ELLIS,139.67,112.53
576,MORRIS MCCARTER,139.66,112.53
349,JOE GILLILAND,138.71,112.53
482,MAURICE CRAWLEY,138.71,112.53
306,CHARLES KOWALSKI,138.68,112.53
51,ALICE STEWART,138.67,112.53
502,BRETT CORNWELL,138.66,112.53
80,MARILYN ROSS,137.70,112.53
210,ELLA OLIVER,137.69,112.53
300,JOHN FARNSWORTH,137.69,112.53
102,CRYSTAL FORD,137.67,112.53
207,GERTRUDE CASTILLO,137.66,112.53
200,JEANNE LAWSON,136.73,112.53
380,RUSSELL BRINSON,136.64,112.53
3,LINDA WILLIAMS,135.74,112.53
285,MIRIAM MCKINNEY,135.74,112.53
558,JIMMIE EGGLESTON,135.72,112.53
448,MIGUEL BETANCOURT,135.71,112.53
56,GLORIA COOK,135.70,112.53
334,RAYMOND MCWHORTER,135.70,112.53
279,DIANNE SHELTON,135.69,112.53
125,ETHEL WEBB,135.68,112.53
535,JAVIER ELROD,135.68,112.53
168,REGINA BERRY,135.66,112.53
591,KENT ARSENAULT,134.73,112.53
307,JOSEPH JOY,134.70,112.53
15,HELEN HARRIS,134.68,112.53
89,JULIA FLORES,134.68,112.53
520,MITCHELL WESTMORELAND,134.68,112.53
569,DAVE GARDINER,134.68,112.53
438,BARRY LOVELACE,134.67,112.53
473,JORGE OLIVARES,134.66,112.53
433,DON BONE,133.75,112.53
59,CHERYL MURPHY,133.73,112.53
92,TINA SIMMONS,133.72,112.53
504,NATHANIEL ADAM,133.72,112.53
179,DANA HART,133.71,112.53
265,JENNIE TERRY,133.71,112.53
112,ROSA REYNOLDS,133.70,112.53
221,BESSIE MORRISON,132.72,112.53
316,STEVEN CURLEY,132.71,112.53
108,TRACY COLE,132.70,112.53
319,RONALD WEINER,132.70,112.53
560,JORDAN ARCHULETA,132.70,112.53
245,COURTNEY DAY,132.68,112.53
13,KAREN JACKSON,131.73,112.53
299,JAMES GANNON,131.70,112.53
314,GEORGE LINTON,131.67,112.53
82,KATHRYN COLEMAN,130.74,112.53
594,EDUARDO HIATT,130.73,112.53
49,JOYCE EDWARDS,130.72,112.53
154,MICHELE GRANT,130.70,112.53
141,DEBBIE REYES,130.68,112.53
342,HAROLD MARTINO,130.68,112.53
497,GILBERT SLEDGE,129.72,112.53
589,TRACY HERRMANN,129.72,112.53
71,KATHY JAMES,129.70,112.53
269,CASSANDRA WALTERS,129.70,112.53
296,RAMONA HALE,129.70,112.53
584,SALVADOR TEEL,129.70,112.53
35,VIRGINIA GREEN,129.68,112.53
244,VIOLA HANSON,129.68,112.53
354,JUSTIN NGO,129.64,112.53
2,PATRICIA JOHNSON,128.73,112.53
434,EDDIE TOMLIN,128.73,112.53
322,JASON MORRISSEY,128.72,112.53
54,TERESA ROGERS,128.71,112.53
131,MONICA HICKS,128.70,112.53
297,SHERRI RHODES,128.67,112.53
451,JIM REA,128.67,112.53
508,MILTON HOWLAND,127.75,112.53
45,JANET PHILLIPS,127.73,112.53
32,AMY LOPEZ,127.71,112.53
253,TERRY CARLSON,127.71,112.53
302,MICHAEL SILVERMAN,127.71,112.53
339,WALTER PERRYMAN,127.70,112.53
128,MARJORIE TUCKER,127.68,112.53
329,FRANK WAGGONER,127.68,112.53
38,MARTHA GONZALEZ,127.66,112.53
147,JOANNE ROBERTSON,127.66,112.53
206,TERRI VASQUEZ,126.73,112.53
426,BRADLEY MOTLEY,126.73,112.53
284,SONIA GREGORY,126.72,112.53
515,ANDRE RAPP,126.72,112.53
565,JAIME NETTLES,126.71,112.53
575,ISAAC OGLESBY,126.71,112.53
107,FLORENCE WOODS,126.70,112.53
27,SHIRLEY ALLEN,126.69,112.53
122,THELMA MURRAY,126.68,112.53
158,VERONICA STONE,126.68,112.53
19,RUTH MARTINEZ,125.76,112.53
389,ALAN KAHN,124.74,112.53
491,RICK MATTOX,124.73,112.53
400,BRYAN HARDISON,124.72,112.53
388,CRAIG MORRELL,124.70,112.53
230,JOY GEORGE,124.67,112.53
129,CARRIE PORTER,124.66,112.53
166,LYNN PAYNE,123.72,112.53
268,NINA SOTO,123.71,112.53
499,MARC OUTLAW,123.70,112.53
30,MELISSA KING,123.66,112.53
510,BEN EASTER,122.74,112.53
331,ERIC ROBERT,122.73,112.53
276,BRANDY GRAVES,122.72,112.53
163,CATHY SPENCER,122.71,112.53
263,HILDA HOPKINS,122.71,112.53
260,CHRISTY VARGAS,122.69,112.53
406,NATHAN RUNYON,122.68,112.53
241,HEIDI LARSON,122.66,112.53
571,JOHNNIE CHISHOLM,121.76,112.53
149,VALERIE BLACK,121.74,112.53
356,GERALD FULTZ,121.70,112.53
393,PHILIP CAUSEY,121.69,112.53
416,JEFFERY PINSON,121.69,112.53
311,PAUL TROUT,120.77,112.53
105,DAWN SULLIVAN,120.74,112.53
225,ARLENE HARVEY,120.74,112.53
423,ALFRED CASILLAS,120.74,112.53
495,CHARLIE BESS,120.74,112.53
573,BYRON BOX,120.71,112.53
251,VICKIE BREWER,120.69,112.53
170,BEATRICE ARNOLD,119.74,112.53
487,HECTOR POINDEXTER,119.74,112.53
421,LEE HAWKS,119.73,112.53
262,PATSY DAVIDSON,119.72,112.53
173,AUDREY RAY,119.71,112.53
23,SARAH LEWIS,119.70,112.53
336,JOSHUA MARK,119.70,112.53
340,PATRICK NEWSOM,119.69,112.53
167,SALLY PIERCE,119.68,112.53
41,STEPHANIE MITCHELL,118.75,112.53
531,JAMIE WAUGH,118.75,112.53
280,TRACEY BARRETT,118.73,112.53
292,MISTY LAMBERT,118.73,112.53
16,SANDRA MARTIN,118.72,112.53
266,NORA HERRERA,118.72,112.53
332,STEPHEN QUALLS,118.72,112.53
529,ERIK GUILLEN,118.71,112.53
1,MARY SMITH,118.68,112.53
442,LEROY BUSTAMANTE,118.68,112.53
583,MARSHALL THORN,117.77,112.53
490,SAM MCDUFFIE,117.76,112.53
585,PERRY SWAFFORD,117.76,112.53
536,FERNANDO CHURCHILL,117.75,112.53
240,MARLENE WELCH,117.74,112.53
286,VELMA LUCAS,117.73,112.53
577,CLIFTON MALCOLM,117.73,112.53
14,BETTY WHITE,117.72,112.53
126,ELLEN SIMPSON,117.72,112.53
386,TODD TAN,117.71,112.53
538,TED BREAUX,117.71,112.53
42,CAROLYN PEREZ,117.70,112.53
595,TERRENCE GUNDERSON,117.70,112.53
321,KEVIN SCHULER,116.78,112.53
432,EDWIN BURK,116.77,112.53
408,MANUEL MURRELL,116.70,112.53
214,KRISTIN JOHNSTON,116.69,112.53
446,THEODORE CULP,116.69,112.53
254,MAXINE SILVA,116.68,112.53
304,DAVID ROYAL,115.74,112.53
512,CECIL VINES,115.74,112.53
58,JEAN BELL,115.73,112.53
500,REGINALD KINDER,115.72,112.53
25,DEBORAH WALKER,115.71,112.53
287,BECKY MILES,115.71,112.53
481,HERMAN DEVORE,115.71,112.53
485,CLYDE TOBIAS,115.71,112.53
588,MARION OCAMPO,115.71,112.53
20,SHARON ROBINSON,115.70,112.53
53,HEATHER MORRIS,115.70,112.53
444,MARCUS HIDALGO,115.70,112.53
503,ANGEL BARCLAY,115.68,112.53
427,JESUS MCCARTNEY,114.76,112.53
343,DOUGLAS GRAF,114.75,112.53
44,MARIE TURNER,114.74,112.53
171,DOLORES WAGNER,114.74,112.53
220,CHARLENE ALVAREZ,114.73,112.53
57,EVELYN MORGAN,114.72,112.53
317,EDWARD BAUGH,114.72,112.53
338,DENNIS GILMAN,114.72,112.53
457,BILL GAVIN,114.72,112.53
186,HOLLY FOX,114.69,112.53
323,MATTHEW MAHAN,114.69,112.53
22,LAURA RODRIGUEZ,113.78,112.53
582,ANDY VANHORN,113.75,112.53
294,SHELLY WATTS,113.74,112.53
486,GLEN TALBERT,113.74,112.53
593,RENE MCALISTER,113.74,112.53
139,AMBER DIXON,113.73,112.53
113,CINDY FISHER,113.71,112.53
447,CLIFFORD BOWENS,113.71,112.53
157,DARLENE ROSE,113.69,112.53
91,LOIS BUTLER,113.65,112.53
493,BRENT HARKINS,112.77,112.53
540,TYRONE ASHER,112.76,112.53
63,ASHLEY RICHARDSON,112.75,112.53
590,SETH HANNON,112.75,112.53
327,LARRY THRASHER,112.74,112.53
407,DALE RATCLIFF,112.73,112.53
441,MARIO CHEATHAM,112.72,112.53
161,GERALDINE PERKINS,112.70,112.53
256,MABEL HOLLAND,112.70,112.53
453,CALVIN MARTEL,111.77,112.53
528,CLAUDE HERZOG,111.75,112.53
234,CLAUDIA FULLER,111.74,112.53
518,GABRIEL HARDER,111.74,112.53
116,VICTORIA GIBSON,111.73,112.53
396,EARL SHANKS,111.73,112.53
579,DARYL LARUE,111.73,112.53
213,GINA WILLIAMSON,111.72,112.53
592,TERRANCE ROUSH,111.71,112.53
28,CYNTHIA YOUNG,111.68,112.53
258,MYRTLE FLEMING,110.76,112.53
375,AARON SELBY,110.76,112.53
417,TRAVIS ESTEP,110.75,112.53
231,GEORGIA JACOBS,110.74,112.53
40,AMANDA CARTER,110.73,112.53
190,YOLANDA WEAVER,110.73,112.53
90,RUBY WASHINGTON,110.72,112.53
376,RANDY GAITHER,110.72,112.53
559,EVERETT BANDA,110.72,112.53
563,KEN PREWITT,110.71,112.53
135,JUANITA MASON,110.70,112.53
424,KYLE SPURLOCK,110.70,112.53
138,HAZEL WARREN,110.66,112.53
477,DAN PAINE,109.78,112.53
155,GAIL KNIGHT,109.75,112.53
193,KATIE ELLIOTT,109.75,112.53
305,RICHARD MCCRARY,109.75,112.53
460,LEON BOSTIC,109.75,112.53
562,WALLACE SLONE,109.75,112.53
121,JOSEPHINE GOMEZ,109.74,112.53
333,ANDREW PURDY,109.73,112.53
471,DEAN SAUER,109.73,112.53
290,KRISTINA CHAMBERS,109.72,112.53
574,JULIAN VEST,109.72,112.53
405,LEONARD SCHOFIELD,109.68,112.53
47,FRANCES PARKER,108.78,112.53
541,DARREN WINDHAM,108.76,112.53
201,VICKI FIELDS,108.75,112.53
572,SIDNEY BURLESON,108.75,112.53
587,SERGIO STANFIELD,108.74,112.53
145,LUCILLE HOLMES,108.72,112.53
275,CAROLE BARNETT,108.70,112.53
246,MARIAN MENDOZA,107.77,112.53
249,DORA MEDINA,107.77,112.53
127,ELAINE STEVENS,107.76,112.53
553,MAX PITT,107.76,112.53
109,EDNA WEST,107.74,112.53
261,DEANNA BYRD,107.74,112.53
581,VIRGIL WOFFORD,107.73,112.53
52,JULIE SANCHEZ,107.71,112.53
418,JEFF EAST,107.70,112.53
452,TOM MILNER,107.68,112.53
341,PETER MENARD,106.77,112.53
345,CARL ARTIS,106.77,112.53
379,CARLOS COUGHLIN,106.77,112.53
11,LISA ANDERSON,106.76,112.53
98,LILLIAN GRIFFIN,106.75,112.53
160,ERIN DUNN,106.73,112.53
381,BOBBY BOUDREAU,106.65,112.53
429,FREDERICK ISBELL,105.79,112.53
150,DANIELLE DANIELS,105.75,112.53
308,THOMAS GRIGSBY,105.75,112.53
414,VINCENT RALSTON,105.75,112.53
517,BRAD MCCURDY,105.75,112.53
96,DIANA ALEXANDER,105.73,112.53
397,JIMMY SCHRADER,105.71,112.53
247,STELLA MORENO,104.78,112.53
409,RODNEY MOELLER,104.77,112.53
466,LEO EBERT,104.77,112.53
270,LEAH CURTIS,104.75,112.53
31,BRENDA WRIGHT,104.74,112.53
312,MARK RINEHART,104.74,112.53
425,FRANCIS SIKES,104.74,112.53
391,CLARENCE GAMEZ,104.70,112.53
65,ROSE HOWARD,103.78,112.53
365,BRUCE SCHWARZ,103.77,112.53
519,RON DELUCA,103.77,112.53
475,PEDRO CHESTNUT,103.76,112.53
199,BETH FRANKLIN,103.75,112.53
324,GARY COY,103.75,112.53
537,CLINTON BUFORD,103.75,112.53
546,KELLY KNOTT,103.75,112.53
202,CARLA GUTIERREZ,103.74,112.53
74,DENISE KELLY,103.73,112.53
282,JENNY CASTRO,103.73,112.53
383,MARTIN BALES,103.73,112.53
12,NANCY THOMAS,103.72,112.53
374,JEREMY HURTADO,103.72,112.53
100,ROBIN HAYES,102.76,112.53
445,MICHEAL FORMAN,102.74,112.53
367,ADAM GOOCH,101.78,112.53
480,COREY HAUSER,101.78,112.53
554,DWAYNE OLVERA,101.78,112.53
83,LOUISE JENKINS,101.75,112.53
156,BERTHA FERGUSON,101.75,112.53
359,WILLIE MARKHAM,101.75,112.53
219,WILLIE HOWELL,101.74,112.53
298,ERIKA PENA,101.74,112.53
385,PHILLIP HOLM,101.74,112.53
387,JESSE SCHILLING,101.74,112.53
509,RAUL FORTIER,100.80,112.53
55,DORIS REED,100.78,112.53
106,CONNIE WALLACE,100.77,112.53
123,SHANNON FREEMAN,100.76,112.53
456,RONNIE RICKETTS,100.75,112.53
303,WILLIAM SATTERFIELD,100.74,112.53
474,DUSTIN GILLETTE,100.74,112.53
77,JANE BENNETT,100.72,112.53
361,LAWRENCE LAWTON,100.69,112.53
64,JUDITH COX,100.67,112.53
449,OSCAR AQUINO,99.80,112.53
489,RICARDO MEADOR,99.79,112.53
67,KELLY TORRES,99.78,112.53
192,LAURIE LAWRENCE,99.77,112.53
352,ALBERT CROUSE,99.77,112.53
437,RANDALL NEUMANN,99.77,112.53
547,KURT EMMONS,99.77,112.53
43,CHRISTINE ROBERTS,99.76,112.53
511,CHESTER BENNER,99.76,112.53
10,DOROTHY TAYLOR,99.75,112.53
597,FREDDIE DUGGAN,99.75,112.53
570,IVAN CROMWELL,99.74,112.53
580,ROSS GREY,99.73,112.53
72,THERESA WATSON,99.70,112.53
272,KAY CALDWELL,98.80,112.53
17,DONNA THOMPSON,98.79,112.53
443,FRANCISCO SKIDMORE,98.78,112.53
544,CODY NOLEN,98.78,112.53
180,STACY CUNNINGHAM,98.77,112.53
217,AGNES BISHOP,98.77,112.53
175,ANNETTE OLSON,98.76,112.53
60,MILDRED BAILEY,98.75,112.53
264,GWENDOLYN MAY,98.75,112.53
516,ELMER NOE,98.74,112.53
133,PAULINE HENRY,98.73,112.53
310,DANIEL CABRAL,97.80,112.53
505,RAFAEL ABNEY,97.79,112.53
73,BEVERLY BROOKS,97.76,112.53
111,CARMEN OWENS,97.74,112.53
182,RENEE LANE,97.74,112.53
422,MELVIN ELLINGTON,97.74,112.53
498,GENE SANBORN,97.73,112.53
461,DEREK BLAKELY,97.72,112.53
578,WILLARD LUMPKIN,96.78,112.53
101,PEGGY MYERS,96.76,112.53
69,JUDY GRAY,96.75,112.53
326,JOSE ANDREW,96.75,112.53
551,CLAYTON BARBEE,96.74,112.53
561,IAN STILL,96.73,112.53
596,ENRIQUE FORSYTHE,96.72,112.53
169,ERICA MATTHEWS,95.78,112.53
476,DERRICK BOURQUE,95.78,112.53
488,SHANE MILLARD,95.78,112.53
37,PAMELA BAKER,95.77,112.53
216,NATALIE MEYER,95.77,112.53
291,TONI HOLT,95.77,112.53
364,BENJAMIN VARNEY,95.77,112.53
431,JOEL FRANCISCO,95.77,112.53
24,KIMBERLY LEE,95.75,112.53
232,CONSTANCE REID,95.75,112.53
507,EDGAR RHOADS,95.75,112.53
132,ESTHER CRAWFORD,95.72,112.53
542,LONNIE TIRADO,94.82,112.53
238,NELLIE GARRETT,94.79,112.53
68,NICOLE PETERSON,94.78,112.53
134,EMMA BOYD,94.77,112.53
153,SUZANNE NICHOLS,94.76,112.53
330,SCOTT SHELLEY,94.75,112.53
142,APRIL BURNS,94.74,112.53
81,ANDREA HENDERSON,93.78,112.53
189,LORETTA CARPENTER,93.78,112.53
523,HARVEY GUAJARDO,93.78,112.53
415,GLENN PULLEN,93.77,112.53
130,CHARLOTTE HUNTER,93.76,112.53
229,TAMARA NGUYEN,93.75,112.53
235,JACKIE LYNCH,93.75,112.53
377,HOWARD FORTNER,93.74,112.53
6,JENNIFER DAVIS,93.72,112.53
174,YVONNE WATKINS,92.79,112.53
301,ROBERT BAUGHMAN,92.79,112.53
8,SUSAN WILSON,92.76,112.53
104,RITA GRAHAM,92.76,112.53
188,MELANIE ARMSTRONG,92.75,112.53
36,KATHLEEN ADAMS,92.73,112.53
151,MEGAN PALMER,92.73,112.53
228,ALLISON STANLEY,92.73,112.53
212,WILMA RICHARDS,91.80,112.53
33,ANNA HILL,91.79,112.53
222,DELORES HANSEN,91.79,112.53
399,DANNY ISOM,91.79,112.53
18,CAROL GARCIA,91.78,112.53
325,TIMOTHY BUNN,91.78,112.53
93,PHYLLIS FOSTER,91.77,112.53
392,SEAN DOUGLASS,91.77,112.53
99,EMILY DIAZ,91.76,112.53
382,VICTOR BARKLEY,91.76,112.53
564,BOB PFEIFFER,91.76,112.53
435,RICKY SHELBY,91.75,112.53
463,DARRELL POWER,91.75,112.53
208,LUCY WHEELER,91.74,112.53
215,JESSIE BANKS,91.74,112.53
115,WENDY HARRISON,91.70,112.53
552,HUGH WALDROP,90.79,112.53
539,MATHEW BOLIN,90.78,112.53
184,VIVIAN RUIZ,90.77,112.53
328,JEFFREY SPEAR,90.77,112.53
501,RUBEN GEARY,89.79,112.53
545,JULIO NOLAND,89.79,112.53
143,LESLIE GORDON,89.78,112.53
9,MARGARET MOORE,89.77,112.53
233,LILLIE KIM,89.77,112.53
313,DONALD MAHON,89.77,112.53
34,REBECCA SCOTT,89.76,112.53
351,JACK FOUST,89.76,112.53
384,ERNEST STEPP,89.75,112.53
419,CHAD CARBONE,89.75,112.53
357,KEITH RICO,89.74,112.53
450,JAY ROBB,89.74,112.53
483,VERNON CHAPA,88.82,112.53
203,TARA RYAN,88.80,112.53
496,TYLER WREN,88.79,112.53
440,BERNARD COLBY,88.78,112.53
534,CHRISTIAN JUNG,88.76,112.53
369,FRED WHEAT,88.75,112.53
278,BILLIE HORTON,88.74,112.53
194,KRISTEN CHAVEZ,87.82,112.53
524,JARED ELY,87.81,112.53
88,BONNIE HUGHES,87.79,112.53
226,MAUREEN LITTLE,87.79,112.53
85,ANNE POWELL,87.77,112.53
227,COLLEEN BURTON,87.76,112.53
455,JON WILES,87.76,112.53
195,VANESSA SIMS,86.81,112.53
478,LEWIS LYMAN,86.81,112.53
165,LORRAINE STEPHENS,86.79,112.53
283,FELICIA SUTTON,86.72,112.53
567,ALFREDO MCADAMS,85.80,112.53
412,ALLEN BUTTERFIELD,85.79,112.53
315,KENNETH GOODEN,84.83,112.53
79,RACHEL BARNES,84.78,112.53
394,CHRIS BROTHERS,84.78,112.53
62,JOAN COOPER,84.77,112.53
185,ROBERTA HARPER,84.77,112.53
140,EVA RAMOS,83.82,112.53
599,AUSTIN CINTRON,83.81,112.53
152,ALICIA MILLS,83.79,112.53
556,ARMANDO GRUBER,83.79,112.53
598,WADE DELVALLE,83.78,112.53
118,KIM CRUZ,82.79,112.53
543,LANCE PEMBERTON,82.78,112.53
243,LYDIA BURKE,82.76,112.53
4,BARBARA JONES,81.78,112.53
527,CORY MEEHAN,81.76,112.53
223,MELINDA FERNANDEZ,80.83,112.53
70,CHRISTINA RAMIREZ,80.82,112.53
205,EILEEN CARR,80.82,112.53
358,SAMUEL MARLOW,80.79,112.53
521,ROLAND SOUTH,80.77,112.53
288,BOBBIE CRAIG,80.76,112.53
411,NORMAN CURRIER,80.74,112.53
548,ALLAN CORNISH,79.81,112.53
402,LUIS YANEZ,79.80,112.53
94,NORMA GONZALES,79.79,112.53
420,JACOB LANCE,79.79,112.53
430,RAY HOULE,79.78,112.53
398,ANTONIO MEEK,78.84,112.53
428,HERBERT KRUGER,78.80,112.53
335,GREGORY MAULDIN,78.77,112.53
95,PAULA BRYANT,77.82,112.53
549,NELSON CHRISTENSON,77.80,112.53
76,IRENE PRICE,77.77,112.53
48,ANN EVANS,76.83,112.53
224,PEARL GARZA,76.78,112.53
183,IDA ANDREWS,76.77,112.53
530,DARRYL ASHCRAFT,76.77,112.53
413,MARVIN YEE,75.79,112.53
555,DWIGHT LOMBARDI,74.83,112.53
525,ADRIAN CLARY,74.81,112.53
191,JEANETTE GREENE,74.80,112.53
514,FRANKLIN TROUTMAN,74.78,112.53
464,JEROME KENYON,73.84,112.53
124,SHEILA WELLS,73.82,112.53
344,HENRY BILLINGSLEY,73.82,112.53
250,JO FOWLER,73.80,112.53
401,TONY CARRANZA,73.79,112.53
350,JUAN FRALEY,73.77,112.53
557,FELIX GAFFNEY,73.76,112.53
353,JONATHAN SCARBOROUGH,72.82,112.53
355,TERRY GRISSOM,72.80,112.53
117,EDITH MCDONALD,71.81,112.53
378,EUGENE CULPEPPER,71.81,112.53
162,LAUREN HUDSON,71.80,112.53
320,ANTHONY SCHWAB,71.80,112.53
177,SAMANTHA DUNCAN,71.77,112.53
255,IRMA PEARSON,70.82,112.53
370,WAYNE TRUONG,70.81,112.53
465,FLOYD GANDY,69.83,112.53
271,PENNY NEAL,68.82,112.53
159,JILL HAWKINS,68.79,112.53
218,VERA MCCOY,67.82,112.53
164,JOANN GARDNER,66.84,112.53
458,LLOYD DOWD,66.81,112.53
568,ALBERTO HENNING,66.79,112.53
492,LESTER KRAUS,65.84,112.53
586,KIRK STCLAIR,64.81,112.53
252,MATTIE HOFFMAN,64.78,112.53
136,ANITA MORALES,62.85,112.53
110,TIFFANY JORDAN,59.86,112.53
61,KATHERINE RIVERA,58.86,112.53
97,ANNIE RUSSELL,58.82,112.53
395,JOHNNY TURPIN,57.81,112.53
318,BRIAN WYMAN,52.88,112.53
281,LEONA OBRIEN,50.86,112.53
248,CAROLINE BOWMAN,50.85,112.53
